anyo,mes,dia,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2026,07,30,TOYOTA,C-HR,41,Sevilla,Private,ICE,UKL1,REST,Standard,SAV,3
2026,07,30,TOYOTA,COROLLA,41,Sevilla,Private,ICE,UKL2,REST,Standard,HACH 5P,3
2026,07,30,TOYOTA,HI LUX,41,Sevilla,Corporate,ICE,SKL,REST,Standard,PICKUP,2
2026,07,30,TOYOTA,PROACE,41,Sevilla,Corporate,BEV,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,TOYOTA,PROACE CITY,41,Sevilla,Corporate,BEV,SKL,REST,Standard,TRANSPORTER,5
2026,07,30,TOYOTA,PROACE VERSO,41,Sevilla,Corporate,BEV,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,TOYOTA,RAV 4,41,Sevilla,Corporate,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,TOYOTA,RAV 4,41,Sevilla,Corporate,PHEV,UKL2,REST,Standard,SAV,1
2026,07,30,TOYOTA,RAV 4,41,Sevilla,Private,PHEV,UKL2,REST,Standard,SAV,1
2026,07,30,TOYOTA,YARIS,41,Sevilla,Private,ICE,UKL1,REST,Standard,HACH 5P,2
2026,07,30,TOYOTA,YARIS CROSS,41,Sevilla,Private,ICE,UKL1,REST,Standard,SAV,2
2026,07,30,VOLKSWAGEN,GOLF,41,Sevilla,Private,ICE,UKL2,REST,Standard,HACH 5P,1
2026,07,30,VOLKSWAGEN,ID.3,41,Sevilla,Corporate,BEV,UKL2,REST,Standard,HACH 5P,1
2026,07,30,VOLKSWAGEN,ID.3,41,Sevilla,Private,BEV,UKL2,REST,Standard,HACH 5P,1
2026,07,30,VOLKSWAGEN,MULTIVAN,41,Sevilla,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,VOLKSWAGEN,POLO,41,Sevilla,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,30,VOLKSWAGEN,T-CROSS,41,Sevilla,Private,ICE,UKL1,REST,Standard,SAV,5
2026,07,30,VOLKSWAGEN,T-ROC,41,Sevilla,Private,ICE,UKL2,REST,Standard,SAV,2
2026,07,30,VOLKSWAGEN,TAIGO,41,Sevilla,Private,ICE,UKL1,REST,Standard,SAV,5
2026,07,30,VOLKSWAGEN,TIGUAN,41,Sevilla,Private,ICE,UKL2,REST,Standard,SAV,4
2026,07,30,VOLVO,XC40,41,Sevilla,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,XPENG,G6,41,Sevilla,Private,BEV,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,BMW,iX3,42,Soria,Corporate,BEV,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,BYD,DOLPHIN SURF,42,Soria,Private,BEV,UKL0,REST,Standard,HACH 5P,1
2026,07,30,BYD,SEAL,42,Soria,Private,BEV,KKL,REST,Standard,SEDAN,1
2026,07,30,EBRO,S400,42,Soria,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,FORD,MUSTANG,42,Soria,Corporate,ICE,MKL,REST,Standard,CABRIO,1
2026,07,30,FORD,PUMA,42,Soria,Corporate,ICE,UKL1,REST,Standard,SAV,1
2026,07,30,HYUNDAI,KONA,42,Soria,Corporate,ICE,UKL1,REST,Standard,SAV,1
2026,07,30,HYUNDAI,TUCSON,42,Soria,Corporate,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,MERCEDES,CLASE CLA,42,Soria,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,SEDAN,1
2026,07,30,MERCEDES,CLASE GLC,42,Soria,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,MERCEDES,CLASE GLC,42,Soria,Corporate,PHEV,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,OMODA,OMODA 5,42,Soria,Private,BEV,UKL2,REST,Standard,SAV,1
2026,07,30,RENAULT,5,42,Soria,Private,BEV,UKL1,REST,Standard,HACH 5P,1
