brand,version_dgt,model,segment,subsegment,high_perf,body_type,fuel,fuel_type
BMW,G60 550E XDRIVE,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G60 I5 EDRIVE40,I5,MKL,FOCUS SEGMENT,Standard,SEDAN,Electrico,BEV
BMW,G60 I5 M60 XDRIVE,I5,MKL,FOCUS SEGMENT,M Performance,SEDAN,Electrico,BEV
BMW,G60 I5 XDRIVE40,I5,MKL,FOCUS SEGMENT,Standard,SEDAN,Electrico,BEV
BMW,G61 520D A,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Diesel Mild Hybrid,ICE
BMW,G61 520D XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Diesel Mild Hybrid,ICE
BMW,G61 520I,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina Mild Hybrid,ICE
BMW,G61 530E,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina/Electrico Enchufable,PHEV
BMW,G61 530E XDRIVE,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina/Electrico Enchufable,PHEV
BMW,G61 540D XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Diesel Mild Hybrid,ICE
BMW,G61 550E XDRIVE,SERIE 5,MKL,FOCUS SEGMENT,Standard,ESTATE,Gasolina/Electrico Enchufable,PHEV
BMW,G61 I5 EDRIVE40,I5,MKL,FOCUS SEGMENT,Standard,ESTATE,Electrico,BEV
BMW,G61 I5 M60 XDRIVE,I5,MKL,FOCUS SEGMENT,M Performance,ESTATE,Electrico,BEV
BMW,G61 I5 XDRIVE40,I5,MKL,FOCUS SEGMENT,Standard,ESTATE,Electrico,BEV
BMW,G70 740D XDRIVE,SERIE 7,GKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G70 750E XDRIVE,SERIE 7,GKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G70 I7 M70XDRIVE,I7,GKL,FOCUS SEGMENT,M Performance,SEDAN,Electrico,BEV
BMW,G70 I7 XDRIVE50,I7,GKL,FOCUS SEGMENT,Standard,SEDAN,Electrico,BEV
BMW,G70 I7 XDRIVE60,I7,GKL,FOCUS SEGMENT,Standard,SEDAN,Electrico,BEV
BMW,G70 M760E XDRIVE,SERIE 7,GKL,FOCUS SEGMENT,M Performance,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G80 M3 C S,SERIE 3,KKL,FOCUS SEGMENT,M,SEDAN,Gasolina,ICE
BMW,G80 M3 COMPETITION,SERIE 3,KKL,FOCUS SEGMENT,M,SEDAN,Gasolina,ICE
BMW,G80 M3 COMPETITION XDRIVE,SERIE 3,KKL,FOCUS SEGMENT,M,SEDAN,Gasolina,ICE
BMW,G80 M3 CS,SERIE 3,KKL,FOCUS SEGMENT,M,SEDAN,Gasolina,ICE
BMW,G81 M3 CS,SERIE 3,KKL,FOCUS SEGMENT,M,ESTATE,Gasolina,ICE
BMW,G81 M3 XDRIVE COMPETITION,SERIE 3,KKL,FOCUS SEGMENT,M,ESTATE,Gasolina,ICE
BMW,G82 M4 COMPETITION,SERIE 4,KKL,FOCUS SEGMENT,M,COUPE,Gasolina,ICE
BMW,G82 M4 COMPETITION XDRIVE,SERIE 4,KKL,FOCUS SEGMENT,M,COUPE,Gasolina,ICE
BMW,G82 M4 CS,SERIE 4,KKL,FOCUS SEGMENT,M,COUPE,Gasolina,ICE
BMW,G82 M4 CSL,SERIE 4,KKL,FOCUS SEGMENT,M,COUPE,Gasolina,ICE
BMW,G83 M4 COMPETITION XDRIVE,SERIE 4,KKL,FOCUS SEGMENT,M,CABRIO,Gasolina,ICE
BMW,G87 M2 COUPE A,SERIE 2,UKL2,FOCUS SEGMENT,M,COUPE,Gasolina,ICE
BMW,G87 M2 CS,SERIE 2,UKL2,FOCUS SEGMENT,M,COUPE,Gasolina,ICE
BMW,G90 M5,SERIE 5,MKL,FOCUS SEGMENT,M,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G99 M5,SERIE 5,MKL,FOCUS SEGMENT,M,ESTATE,Gasolina/Electrico Enchufable,PHEV
BMW,I01 I3 (120 AH) A,I3,UKL2,FOCUS SEGMENT,Standard,HACH 5P,Electrico,BEV
BMW,I20 IX M60,IX,MKL,FOCUS SEGMENT,M Performance,SAV,Electrico,BEV
BMW,I20 IX M70,IX,MKL,FOCUS SEGMENT,M Performance,SAV,Electrico,BEV
BMW,I20 IX XDRIV60,IX,MKL,FOCUS SEGMENT,Standard,SAV,Electrico,BEV
BMW,I20 IX XDRIVE40,IX,MKL,FOCUS SEGMENT,Standard,SAV,Electrico,BEV
BMW,I20 IX XDRIVE45,IX,MKL,FOCUS SEGMENT,Standard,SAV,Electrico,BEV
BMW,I20 IX XDRIVE50,IX,MKL,FOCUS SEGMENT,Standard,SAV,Electrico,BEV
BMW,NA5 IX3 50 XDRIVE,IX3,KKL,FOCUS SEGMENT,Standard,SAV,Electrico,BEV
BMW,U06 218D,SERIE 2,UKL2,FOCUS SEGMENT,Standard,SAT,Diesel,ICE
