BRAND,SUB_MODEL_NAME,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
BEIJING AUTO,BEIJING AUTO E-SERIES MPV,E-SERIES MPV,BX03,2012.0,MPV,BASE,REST,UKL1,HATCH,HATCH
BEIJING AUTO,BEIJING AUTO E-SERIES (SEDAN),E-SERIES (SEDAN),BXES,2012.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
BEIJING AUTO,BEIJING AUTO A113/A115 MPV,A113/A115 MPV,BXA1,2012.0,MPV,BASE,REST,UKL1,HATCH,HATCH
SSANGYONG,SSANGYONG KORANDO SPORTS,KORANDO SPORTS,SGC0,2012.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
SRT,SRT VIPER,VIPER,VJVP,2012.0,COUPE,NEAR PREMIUM,REST,GKL,COUPE,COUPE
SOUEAST,SOUEAST V6,V6,YDV6,2012.0,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
SOUEAST,SOUEAST V5 LING,V5 LING,YDV5,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
FAW-JIEFANG,FAW-JIEFANG TIGER V,TIGER V,JITV,2012.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
RENAULT,RENAULT LODGY,LODGY,RELO,2012.0,MPV,BASE,REST,UKL1,MPV,MPV
BRILLIANCE,BRILLIANCE H230,H230,EEH2,2012.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
BRILLIANCE,BRILLIANCE H220,H220,EE22,2012.0,HATCHBACK,BASE,REST,UKL1,HATCH,HATCH
MB TRUCK,MB TRUCK ATRON,ATRON,4327,2012.0,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
SKODA,SKODA SPACEBACK,SPACEBACK,SKSP,2012.0,WAGON,BASE,REST,UKL1,HATCH,HATCH
SKODA,SKODA RAPID,RAPID,SKRA,2012.0,WAGON,BASE,REST,UKL1,HATCH,HATCH
