BRAND,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
MOBILITY,CITYCARGO,2305,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MOBILITY,CITYQUAD,2302,,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
MOBILITY,CITYTRIX,2303,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MOBILITY,UNSPECIFIED,23ZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
MODERN AUTO,UNSPECIFIED,33ZZ,,UNSPECIFIED,BASE,REST,UKL2,UNSPEC.,UNSPEC.
MOKE,MINIMOKE,MKMI,,CONVERTIBLE,BASE,REST,UKL1,CABRIO,CABRIO
MOKE,UNSPECIFIED,MKZZ,,CONVERTIBLE,BASE,REST,UKL1,CABRIO,CABRIO
MORGAN,CLASSIC,MOCL,,ROADSTER,PREMIUM,REST,MKL,ROADSTER,ROADSTER
MORGAN,PLUS 4/PLUS 8,MO44,,ROADSTER,PREMIUM,REST,KKL,ROADSTER,ROADSTER
MORGAN,SUPERSPORT,MO!$,,ROADSTER,PREMIUM,REST,KKL,ROADSTER,ROADSTER
MORGAN,UNSPECIFIED,MOZZ,,COUPE,PREMIUM,REST,KKL,COUPE,COUPE
ROVER,ITAL,ROAI,,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
ROVER,MARINA,ROAM,,CAR UTILITY,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ROVER,MINOR,ROAN,,UNSPECIFIED,BASE,REST,UKL1,UNSPEC.,UNSPEC.
ROVER,UNSPECIFIED,ROAZ,,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
MOSKVICH,3E,MS05,,SUV,BASE,REST,UKL2,SAV,SAV
MOSKVICH,8,MS06,,SUV,BASE,REST,KKL,SAV,SAV
MOSKVICH,UNSPECIFIED,MSZZ,,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
MOVAL,UNSPECIFIED,M1ZZ,,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
MOWAG,B350,N1B3,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MOWAG,UNSPECIFIED,N1ZZ,,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
MUDAN,ZT4015,Z415,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MUDANAUTO,UNSPECIFIED,J5ZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
MULTICAR,M26,F1M6,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MULTICAR,UNSPECIFIED,F1ZZ,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MUP TECHNOLOGIES,ELION SERIES,2F01,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NAMMI,B-SEDAN EV,4601,,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
NAMMI,NANO BOX,4602,,SUV,BASE,REST,UKL0,SAV,SAV
NANJUN,TRUCK UNSPECIFIED,NJTZ,,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
NANJUN,UNSPECIFIED,NJZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
NAVYA,UNSPECIFIED,03ZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
NEFAZ,UNSPECIFIED,E8ZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
NETA,C-MPV TBD,4N02,,MPV,BASE,REST,UKL2,MPV,MPV
NETA,D-SEDAN,4N06,,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
NETA,D-SUV,4N0A,,SUV,BASE,REST,KKL,SAV,SAV
NETA,U PRO,4N08,,SUV,BASE,REST,UKL2,SAV,SAV
NETA,UNSPECIFIED,4NZZ,,UNSPECIFIED,BASE,REST,UKL2,UNSPEC.,UNSPEC.
NETA,X,4N09,,SUV,BASE,REST,UKL2,SAV,SAV
NEVO,E07,!M!!,,SUV,BASE,REST,MKL,SAV,SAV
NEVS,UNSPECIFIED,73ZZ,,UNSPECIFIED,NEAR PREMIUM,REST,KKL,UNSPEC.,UNSPEC.
NEW GONOW,MINI TRUCK,3M00,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NEW GONOW,UNSPECIFIED,3MZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
NEW-DADI (XINDADI),MOTIVITY,J2MO,,SUV,BASE,REST,MKL,SUV,SUV
NEW-DADI (XINDADI),MUSSO,J2MU,,SUV,BASE,REST,MKL,SUV,SUV
NEW-DADI (XINDADI),UNSPECIFIED,J2ZZ,,UNSPECIFIED,BASE,REST,MKL,UNSPEC.,UNSPEC.
NEX,BEV VAN,!G!#,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NEXTEM,UNSPECIFIED,2GZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
NIO,D-SUV,75!$,,SUV,PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
NIO ENTRY,D-SUV TBD,2P01,,SUV,BASE,REST,KKL,SAV,SAV
NIO ENTRY,PEGASUS TBD,2PPG,,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
NIO ENTRY,SIRIUS TBD,2PSI,,SUV,BASE,REST,UKL2,SAV,SAV
NIO,ES5,75E5,,SUV,PREMIUM,NEW PLAYERS & TESLA,UKL2,SAV,SAV
NIO,ES9,75E9,,SUV,PREMIUM,NEW PLAYERS & TESLA,MKL,SAV,SAV
NIO,E-SEDAN TBD,750A,,SEDAN,PREMIUM,NEW PLAYERS & TESLA,MKL,SEDAN,SEDAN
NIO,ET6,7505,,SEDAN,PREMIUM,NEW PLAYERS & TESLA,KKL,SEDAN,SEDAN
NIO,UNSPECIFIED,75ZZ,,UNSPECIFIED,PREMIUM,NEW PLAYERS & TESLA,KKL,UNSPEC.,UNSPEC.
NISSAN,1400,NI14,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
NISSAN,SUNNY Q-BIC,NISQ,,CAR UTILITY,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NISSAN,SUNNY TRUCK,NIS1,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
NISSAN,ALMERA CLASSIC,NI17,,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
NISSAN,A-MPV EV,NI0J,,MPV,BASE,REST,UKL0,MPV,MPV
NISSAN,AXXESS,NIAX,,MPV,BASE,REST,KKL,MPV,MPV
