anyo,mes,dia,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,count
2026,06,05,AUDI,Q5 SPORTBACK,Private,PHEV,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,Standard,SAV,3
2026,06,05,AUDI,Q7,Corporate,ICE,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,AUDI,Q8,Private,ICE,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,AUDI,Q8,RAC,ICE,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,Standard,SAV,2
2026,06,05,AUTOMOBILI LAMBORGHINI S.P.A.,,Corporate,PHEV,Gasolina/Electrico Enchufable,,,Standard,,1
2026,06,05,AUTOMOBILI LAMBORGHINI S.P.A.,,Private,PHEV,Gasolina/Electrico Enchufable,,,Standard,,1
2026,06,05,BENIMAR,,Private,ICE,Diesel,,,Standard,,3
2026,06,05,BERGADA,,Private,ICE,Diesel,,,Standard,,1
2026,06,05,BERGADANA,,Private,ICE,Diesel,,,Standard,,1
2026,06,05,BMW,I5,Corporate,BEV,Electrico,5.MKL,FOCUS SEGMENT,Standard,ESTATE,1
2026,06,05,BMW,IX1,Corporate,BEV,Electrico,3.UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,BMW,IX1,Private,BEV,Electrico,3.UKL2,FOCUS SEGMENT,Standard,SAV,3
2026,06,05,BMW,IX1,RAC,BEV,Electrico,3.UKL2,FOCUS SEGMENT,Standard,SAV,2
2026,06,05,BMW,IX2,Corporate,BEV,Electrico,3.UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,BMW,IX2,Private,BEV,Electrico,3.UKL2,FOCUS SEGMENT,Standard,SAV,2
2026,06,05,BMW,IX2,RAC,BEV,Electrico,3.UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,BMW,IX3,Corporate,BEV,Electrico,4.KKL,FOCUS SEGMENT,Standard,SAV,4
2026,06,05,BMW,SERIE 1,Corporate,ICE,Gasolina,3.UKL2,FOCUS SEGMENT,Standard,HACH 5P,3
2026,06,05,BMW,SERIE 1,Private,ICE,Gasolina,3.UKL2,FOCUS SEGMENT,Standard,HACH 5P,3
2026,06,05,BMW,SERIE 1,RAC,ICE,Gasolina,3.UKL2,FOCUS SEGMENT,M Performance,HACH 5P,4
2026,06,05,BMW,SERIE 1,RAC,ICE,Gasolina,3.UKL2,FOCUS SEGMENT,Standard,HACH 5P,29
2026,06,05,BMW,SERIE 2,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,MPV,1
2026,06,05,BMW,SERIE 2,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,MPV,1
2026,06,05,BMW,SERIE 2,RAC,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,MPV,3
2026,06,05,BMW,SERIE 3,Corporate,ICE,Gasolina,4.KKL,FOCUS SEGMENT,Standard,ESTATE,3
2026,06,05,BMW,SERIE 3,Private,ICE,Gasolina,4.KKL,FOCUS SEGMENT,Standard,ESTATE,1
2026,06,05,BMW,SERIE 3,RAC,ICE,Gasolina,4.KKL,FOCUS SEGMENT,Standard,ESTATE,2
2026,06,05,BMW,SERIE 3,RAC,PHEV,Gasolina,4.KKL,FOCUS SEGMENT,Standard,ESTATE,1
2026,06,05,BMW,SERIE 4,Corporate,ICE,Gasolina,4.KKL,FOCUS SEGMENT,Standard,CABRIO,1
2026,06,05,BMW,SERIE 4,RAC,ICE,Gasolina,4.KKL,FOCUS SEGMENT,Standard,CABRIO,3
2026,06,05,BMW,SERIE 5,Corporate,PHEV,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,M,ESTATE,1
2026,06,05,BMW,SERIE 5,Corporate,PHEV,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,Standard,ESTATE,1
2026,06,05,BMW,SERIE 5,RAC,ICE,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,Standard,ESTATE,1
2026,06,05,BMW,X1,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,19
2026,06,05,BMW,X1,Corporate,PHEV,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,3
2026,06,05,BMW,X1,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,8
2026,06,05,BMW,X1,Private,PHEV,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,3
2026,06,05,BMW,X1,RAC,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,M Performance,SAV,2
2026,06,05,BMW,X1,RAC,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,8
2026,06,05,BMW,X1,RAC,PHEV,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,25
2026,06,05,BMW,X2,Corporate,ICE,Diesel Mild Hybrid,3.UKL2,FOCUS SEGMENT,Standard,SAV,15
2026,06,05,BMW,X2,Private,ICE,Diesel Mild Hybrid,3.UKL2,FOCUS SEGMENT,Standard,SAV,2
2026,06,05,BMW,X2,RAC,ICE,Diesel Mild Hybrid,3.UKL2,FOCUS SEGMENT,M Performance,SAV,1
2026,06,05,BMW,X2,RAC,ICE,Diesel Mild Hybrid,3.UKL2,FOCUS SEGMENT,Standard,SAV,170
2026,06,05,BMW,X3,Corporate,ICE,Gasolina Mild Hybrid,4.KKL,FOCUS SEGMENT,Standard,SAV,4
2026,06,05,BMW,X3,Corporate,PHEV,Gasolina Mild Hybrid,4.KKL,FOCUS SEGMENT,Standard,SAV,6
2026,06,05,BMW,X3,Private,ICE,Gasolina Mild Hybrid,4.KKL,FOCUS SEGMENT,M Performance,SAV,1
2026,06,05,BMW,X3,Private,ICE,Gasolina Mild Hybrid,4.KKL,FOCUS SEGMENT,Standard,SAV,4
2026,06,05,BMW,X3,Private,PHEV,Gasolina Mild Hybrid,4.KKL,FOCUS SEGMENT,Standard,SAV,2
2026,06,05,BMW,X3,RAC,ICE,Gasolina Mild Hybrid,4.KKL,FOCUS SEGMENT,Standard,SAV,11
2026,06,05,BMW,X3,RAC,PHEV,Gasolina Mild Hybrid,4.KKL,FOCUS SEGMENT,Standard,SAV,4
2026,06,05,BMW,X5,Corporate,ICE,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,Standard,SAV,4
2026,06,05,BMW,X5,Corporate,PHEV,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,Standard,SAV,2
2026,06,05,BMW,X5,Private,ICE,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,BMW,X6,Corporate,ICE,Gasolina Mild Hybrid,5.MKL,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,BMW,X7,Corporate,ICE,Gasolina Mild Hybrid,6.GKL,FOCUS SEGMENT,M Performance,SAV,1
2026,06,05,BMW,XM,Private,PHEV,Gasolina/Electrico Enchufable,6.GKL,FOCUS SEGMENT,M,SAV,1
2026,06,05,BYD,ATTO 2,Corporate,BEV,Gasolina/Electrico Enchufable,2.UKL1,REST,Standard,SAV,2
2026,06,05,BYD,ATTO 2,Corporate,PHEV,Gasolina/Electrico Enchufable,2.UKL1,REST,Standard,SAV,1
2026,06,05,BYD,ATTO 2,Private,BEV,Gasolina/Electrico Enchufable,2.UKL1,REST,Standard,SAV,8
2026,06,05,BYD,ATTO 2,Private,PHEV,Gasolina/Electrico Enchufable,2.UKL1,REST,Standard,SAV,14
