anyo,mes,marca,canal,fuel_type,count
2026,06,HYUNDAI,Private,ICE,1479
2026,06,HYUNDAI,Private,PHEV,111
2026,06,HYUNDAI,RAC,ICE,1415
2026,06,IBERICA DE ISOTERMIZACIONES,Corporate,ICE,1
2026,06,IGLUVAN,Corporate,BEV,2
2026,06,IGLUVAN,Corporate,ICE,57
2026,06,IGLUVAN,Private,ICE,8
2026,06,IGLUVAN,RAC,ICE,27
2026,06,ILUSION,Private,ICE,3
2026,06,ILUSION,RAC,ICE,3
2026,06,INCASE,Corporate,ICE,1
2026,06,INDUSAUTO,Private,ICE,30
2026,06,INEOS,Corporate,ICE,7
2026,06,INEOS,Private,ICE,1
2026,06,INEOS,RAC,ICE,1
2026,06,INVICTA ELECTRIC,Corporate,BEV,1
2026,06,IRIZAR,Corporate,ICE,15
2026,06,IRIZAR E-MOBILITY,Corporate,BEV,1
2026,06,ISUZU,Corporate,BEV,5
2026,06,ISUZU,Corporate,ICE,83
2026,06,ISUZU,Private,ICE,8
2026,06,ISUZU,RAC,ICE,11
2026,06,ITINEO,Private,ICE,3
2026,06,ITURRI,Corporate,ICE,2
2026,06,IVECO,Corporate,ICE,304
2026,06,IVECO,Private,ICE,31
2026,06,IVECO,RAC,ICE,280
2026,06,IVECO BUS,Corporate,ICE,12
2026,06,IVECO BUS,RAC,ICE,3
2026,06,JAECOO,Corporate,BEV,4
2026,06,JAECOO,Corporate,ICE,73
2026,06,JAECOO,Corporate,PHEV,71
2026,06,JAECOO,Private,BEV,40
2026,06,JAECOO,Private,ICE,515
2026,06,JAECOO,Private,PHEV,191
2026,06,JAECOO,RAC,ICE,383
2026,06,JAECOO,RAC,PHEV,257
2026,06,JASPE,Corporate,ICE,2
2026,06,JEANJE,Corporate,ICE,4
2026,06,JEANJE,RAC,ICE,7
2026,06,JEEP,Corporate,BEV,4
2026,06,JEEP,Corporate,ICE,336
2026,06,JEEP,Corporate,PHEV,7
2026,06,JEEP,Private,BEV,35
