anyo,mes,dia,marca,canal,fuel_type,count
2026,06,11,SUBARU,Private,ICE,4
2026,06,11,SUZUKI,Corporate,BEV,1
2026,06,11,SUZUKI,Corporate,ICE,1
2026,06,11,SUZUKI,Private,ICE,16
2026,06,11,SUZUKI,RAC,ICE,1
2026,06,11,TALLERES PRAT-RUSIÑOL,Corporate,ICE,1
2026,06,11,TECNOCARSA,RAC,ICE,1
2026,06,11,TECNOVE FIBERGLASS,RAC,ICE,1
2026,06,11,TESLA,Corporate,BEV,24
2026,06,11,TESLA,Private,BEV,175
2026,06,11,THERMOEUROP,Corporate,ICE,1
2026,06,11,TOYOTA,Corporate,BEV,14
2026,06,11,TOYOTA,Corporate,ICE,104
2026,06,11,TOYOTA,Corporate,PHEV,11
2026,06,11,TOYOTA,Private,BEV,23
2026,06,11,TOYOTA,Private,ICE,238
2026,06,11,TOYOTA,Private,PHEV,30
2026,06,11,TOYOTA,RAC,BEV,11
2026,06,11,TOYOTA,RAC,ICE,60
2026,06,11,TRANSPOL,Private,ICE,1
2026,06,11,VEBLINTER,Corporate,ICE,1
2026,06,11,VOLKSWAGEN,Corporate,BEV,4
2026,06,11,VOLKSWAGEN,Corporate,ICE,149
2026,06,11,VOLKSWAGEN,Corporate,PHEV,9
2026,06,11,VOLKSWAGEN,Private,BEV,5
2026,06,11,VOLKSWAGEN,Private,ICE,120
2026,06,11,VOLKSWAGEN,Private,PHEV,17
2026,06,11,VOLKSWAGEN,RAC,ICE,6
2026,06,11,VOLQUETES GONZALVEZ,Corporate,ICE,1
2026,06,11,VOLVO,Corporate,BEV,2
2026,06,11,VOLVO,Corporate,ICE,15
2026,06,11,VOLVO,Corporate,PHEV,9
2026,06,11,VOLVO,Private,BEV,5
2026,06,11,VOLVO,Private,ICE,14
2026,06,11,VOLVO,Private,PHEV,2
2026,06,11,VOLVO,RAC,ICE,3
2026,06,11,XPENG,Corporate,BEV,3
2026,06,11,XPENG,Private,BEV,6
2026,06,11,ZEEKR,Corporate,BEV,2
