marca,canal,old_dgt,new_dgt,simmix,old_delta,new_delta,delta_change
CARROCERIAS VASALLO,Corporate,0,9,0,0,9,9
CARROCERIAS VASALLO,Private,0,1,0,0,1,1
CARROCERIAS VASALLO,RAC,0,1,0,0,1,1
CARROCERIAS VICAM,Corporate,0,2,0,0,2,2
CARROCERIAS VILLFER,Corporate,0,3,0,0,3,3
CARROCERIAS VILLFER,Private,0,3,0,0,3,3
CARROCERIAS YECLA,Corporate,0,13,0,0,13,13
CARROCERIAS YECLA,Private,0,3,0,0,3,3
CARROCERIAS YECLA,RAC,0,4,0,0,4,4
CARROCEROS DE BURGOS,Corporate,0,1,0,0,1,1
CARROCEROS F&G,Corporate,0,8,0,0,8,8
CARROSSERIES TOLOSA,Corporate,0,60,0,0,60,60
CARROSSERIES TOLOSA,Private,0,2,0,0,2,2
CARROSSERIES TOLOSA,RAC,0,3,0,0,3,3
CARROZADOS TECAI,Corporate,0,195,0,0,195,195
CARROZADOS TECAI,Private,0,29,0,0,29,29
CARROZADOS TECAI,RAC,0,200,0,0,200,200
CARRULET,Private,0,9,0,0,9,9
CARSUR CARROZADOS SL,Corporate,0,3,0,0,3,3
CARSUR CARROZADOS SL,Private,0,1,0,0,1,1
CARTHAGO,Corporate,0,2,0,0,2,2
CARTHAGO,Private,0,30,0,0,30,30
CARTHAGO,RAC,0,5,0,0,5,5
CASALINI,Private,0,11,0,0,11,11
CASE,Corporate,0,2,0,0,2,2
CASE IH,Private,0,1,0,0,1,1
CASTROSUA,Corporate,0,25,0,0,25,25
CATERHAM,Corporate,0,0,9,-9,-9,0
CATERHAM,Private,0,0,7,-7,-7,0
CATERHAM,RAC,0,0,0,0,0,0
CATERHAM CARS LTD,Corporate,0,9,0,0,9,9
CATERHAM CARS LTD,Private,0,7,0,0,7,7
CATERPILLAR,Corporate,0,1,0,0,1,1
CAYVOL,Corporate,0,363,0,0,363,363
CAYVOL,Private,0,1,0,0,1,1
CAYVOL,RAC,0,19,0,0,19,19
CBF NAVARRO,Corporate,0,5,0,0,5,5
CBF NAVARRO,Private,0,2,0,0,2,2
CELA,Corporate,0,2,0,0,2,2
CELA,RAC,0,5,0,0,5,5
CEM,Corporate,0,3,0,0,3,3
CENNTRO,Corporate,0,111,116,-116,-5,111
CENNTRO,Private,0,16,12,-12,4,16
CENNTRO,RAC,0,12,5,-5,7,12
CENTO BUS,Corporate,0,2,0,0,2,2
CENTO BUS,Private,0,1,0,0,1,1
CERRAJERIA AURELIO,Corporate,0,49,0,0,49,49
CERRAJERIA AURELIO,Private,0,5,0,0,5,5
CERRAJERIA AURELIO,RAC,0,2,0,0,2,2
CERRAPALMA,Corporate,0,6,0,0,6,6
CERRAPALMA,Private,0,1,0,0,1,1
CFMOTO,Corporate,0,452,0,0,452,452
