anyo,mes,marca,canal,fuel_type,count
2025,01,LINHAI,Corporate,BEV,3
2025,01,LINHAI,Private,BEV,1
2025,01,LINHAI,Private,ICE,1
2025,01,LIVAN,Corporate,ICE,24
2025,01,LIVAN,Private,ICE,6
2025,01,LOJO,Private,BEV,1
2025,01,LONCIN,Corporate,ICE,2
2025,01,LONCIN,Private,ICE,1
2025,01,LOTUS,Corporate,BEV,1
2025,01,LYNK & CO,Corporate,BEV,5
2025,01,LYNK & CO,Corporate,PHEV,46
2025,01,LYNK & CO,RAC,BEV,4
2025,01,LYNK & CO,RAC,PHEV,6
2025,01,MAN,Corporate,ICE,44
2025,01,MAN,Private,ICE,12
2025,01,MAN,RAC,BEV,15
2025,01,MAN,RAC,ICE,16
2025,01,MASERATI,Corporate,ICE,17
2025,01,MASERATI,Private,ICE,5
2025,01,MASERATI,RAC,ICE,1
2025,01,MAXUS,Corporate,BEV,17
2025,01,MAXUS,Corporate,ICE,19
2025,01,MAXUS,Private,BEV,1
2025,01,MAXUS,Private,ICE,5
2025,01,MAXUS,RAC,BEV,1
2025,01,MAZDA,Corporate,ICE,283
2025,01,MAZDA,Corporate,PHEV,29
2025,01,MAZDA,Private,ICE,851
2025,01,MAZDA,Private,PHEV,19
2025,01,MAZDA,RAC,ICE,29
2025,01,MAZDA,RAC,PHEV,1
2025,01,MAZZOCCHIA,Corporate,ICE,2
2025,01,MC LOUIS,Private,ICE,6
2025,01,MC LOUIS,RAC,ICE,1
2025,01,MCLAREN,Corporate,ICE,1
2025,01,MCLOUIS,Corporate,ICE,1
2025,01,MCLOUIS,Private,ICE,24
2025,01,MCLOUIS,RAC,ICE,18
2025,01,MEBAUTO,Corporate,BEV,4
2025,01,MEBAUTO,Corporate,ICE,13
2025,01,MERCEDES,Corporate,ICE,1
2025,01,MERCEDES BENZ,Corporate,BEV,1
2025,01,MERCEDES BENZ,Corporate,ICE,4
2025,01,MERCEDES BENZ,Private,ICE,2
2025,01,MERCEDES IDILIS,Corporate,ICE,1
2025,01,MERCEDES-AMG,Corporate,ICE,6
2025,01,MERCEDES-AMG,Corporate,PHEV,2
2025,01,MERCEDES-AMG,Private,ICE,6
2025,01,MERCEDES-AMG,Private,PHEV,1
2025,01,MERCEDES-BENZ,Corporate,BEV,244
2025,01,MERCEDES-BENZ,Corporate,ICE,1942
2025,01,MERCEDES-BENZ,Corporate,PHEV,631
2025,01,MERCEDES-BENZ,Private,BEV,134
2025,01,MERCEDES-BENZ,Private,ICE,850
2025,01,MERCEDES-BENZ,Private,PHEV,317
2025,01,MERCEDES-BENZ,RAC,BEV,5
2025,01,MERCEDES-BENZ,RAC,ICE,189
2025,01,MERCEDES-BENZ,RAC,PHEV,12
2025,01,MERCEDES-V,Corporate,BEV,6
2025,01,MERCEDES-V,Corporate,ICE,111
2025,01,MERCEDES-V,Private,ICE,42
2025,01,MERCEDES-V,RAC,BEV,3
2025,01,MERCEDES-V,RAC,ICE,11
2025,01,MG,Corporate,BEV,20
2025,01,MG,Corporate,ICE,145
2025,01,MG,Corporate,PHEV,24
2025,01,MG,Private,BEV,98
2025,01,MG,Private,ICE,2357
2025,01,MG,Private,PHEV,154
2025,01,MG,RAC,ICE,9
2025,01,MICROCAR,Private,ICE,7
2025,01,MINGHONG-POWER,Corporate,BEV,1
2025,01,MINI,Corporate,BEV,66
