anyo,mes,dia,cod_prov,provincia,canal,fuel_type,count
2026,06,03,38,S.C. Tenerife,Private,BEV,9
2026,06,03,38,S.C. Tenerife,Private,ICE,9
2026,06,03,38,S.C. Tenerife,Private,PHEV,3
2026,06,03,39,Cantabria,Corporate,ICE,7
2026,06,03,39,Cantabria,Private,BEV,2
2026,06,03,39,Cantabria,Private,ICE,19
2026,06,03,39,Cantabria,Private,PHEV,1
2026,06,03,39,Cantabria,RAC,ICE,1
2026,06,03,40,Segovia,Corporate,ICE,1
2026,06,03,40,Segovia,Private,BEV,2
2026,06,03,40,Segovia,Private,ICE,3
2026,06,03,41,Sevilla,Corporate,ICE,11
2026,06,03,41,Sevilla,Corporate,PHEV,3
2026,06,03,41,Sevilla,Private,BEV,11
2026,06,03,41,Sevilla,Private,ICE,57
2026,06,03,41,Sevilla,Private,PHEV,10
2026,06,03,41,Sevilla,RAC,ICE,2
2026,06,03,41,Sevilla,RAC,PHEV,1
2026,06,03,42,Soria,Corporate,ICE,1
2026,06,03,42,Soria,Private,ICE,16
2026,06,03,43,Tarragona,Corporate,BEV,2
2026,06,03,43,Tarragona,Corporate,ICE,5
2026,06,03,43,Tarragona,Corporate,PHEV,2
2026,06,03,43,Tarragona,Private,BEV,13
2026,06,03,43,Tarragona,Private,ICE,16
2026,06,03,43,Tarragona,Private,PHEV,4
2026,06,03,44,Teruel,Private,ICE,5
2026,06,03,45,Toledo,Corporate,BEV,2
2026,06,03,45,Toledo,Corporate,ICE,6
2026,06,03,45,Toledo,Corporate,PHEV,4
2026,06,03,45,Toledo,Private,BEV,8
2026,06,03,45,Toledo,Private,ICE,28
2026,06,03,46,Valencia,Corporate,BEV,8
2026,06,03,46,Valencia,Corporate,ICE,15
2026,06,03,46,Valencia,Corporate,PHEV,3
2026,06,03,46,Valencia,Private,BEV,36
2026,06,03,46,Valencia,Private,ICE,56
2026,06,03,46,Valencia,Private,PHEV,14
2026,06,03,46,Valencia,RAC,ICE,1
2026,06,03,47,Valladolid,Corporate,ICE,4
2026,06,03,47,Valladolid,Corporate,PHEV,1
2026,06,03,47,Valladolid,Private,BEV,5
2026,06,03,47,Valladolid,Private,ICE,17
2026,06,03,48,Bizkaia,Corporate,BEV,1
2026,06,03,48,Bizkaia,Corporate,ICE,9
2026,06,03,48,Bizkaia,Corporate,PHEV,2
2026,06,03,48,Bizkaia,Private,BEV,10
2026,06,03,48,Bizkaia,Private,ICE,14
2026,06,03,48,Bizkaia,Private,PHEV,2
2026,06,03,48,Bizkaia,RAC,ICE,2
2026,06,03,49,Zamora,Corporate,ICE,1
2026,06,03,50,Zaragoza,Corporate,BEV,1
2026,06,03,50,Zaragoza,Corporate,ICE,9
2026,06,03,50,Zaragoza,Private,BEV,4
2026,06,03,50,Zaragoza,Private,ICE,29
2026,06,03,50,Zaragoza,Private,PHEV,3
2026,06,03,51,Ceuta,Private,ICE,5
2026,06,03,52,Melilla,Private,ICE,1
2026,06,03,52,Melilla,Private,PHEV,1
